"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"05/11/2024 01:00:00 PM","subway","376","Brook Av (6)","Bronx","metrocard","Metrocard - Unlimited 30-Day","12","0","40.807568","-73.91924","POINT (-73.91924 40.807568)"
"05/11/2024 01:00:00 AM","subway","369","Elder Av (6)","Bronx","omny","OMNY - Full Fare","4","0","40.828583","-73.87916","POINT (-73.87916 40.828583)"
"05/11/2024 05:00:00 PM","subway","235","York St (F)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","126","0","40.701397","-73.98675","POINT (-73.98675 40.701397)"
"05/11/2024 08:00:00 PM","subway","460","33 St-Rawson St (7)","Queens","metrocard","Metrocard - Unlimited 7-Day","7","0","40.744587","-73.931","POINT (-73.931 40.744587)"
"05/11/2024 04:00:00 PM","subway","312","79 St (1)","Manhattan","metrocard","Metrocard - Seniors & Disability","43","2","40.783936","-73.97992","POINT (-73.97992 40.783936)"
"05/11/2024 08:00:00 AM","subway","6","39 Av-Dutch Kills (N,W)","Queens","metrocard","Metrocard - Unlimited 30-Day","10","0","40.75288","-73.932755","POINT (-73.932755 40.75288)"
"05/11/2024 05:00:00 PM","subway","436","Harlem-148 St (3)","Manhattan","metrocard","Metrocard - Full Fare","15","1","40.82388","-73.93647","POINT (-73.93647 40.82388)"
"05/11/2024 01:00:00 PM","subway","38","86 St (R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","14","3","40.62269","-74.0284","POINT (-74.0284 40.62269)"
"05/11/2024 05:00:00 PM","subway","149","163 St-Amsterdam Av (C)","Manhattan","omny","OMNY - Full Fare","62","1","40.836014","-73.939896","POINT (-73.939896 40.836014)"
"05/11/2024 03:00:00 AM","subway","234","East Broadway (F)","Manhattan","metrocard","Metrocard - Other","1","0","40.713715","-73.99017","POINT (-73.99017 40.713715)"
"05/11/2024 09:00:00 PM","subway","615","New Utrecht Av (N)/62 St (D)","Brooklyn","metrocard","Metrocard - Seniors & Disability","1","0","40.624844","-73.99635","POINT (-73.99635 40.624844)"
"05/11/2024 09:00:00 AM","subway","137","East 105 St (L)","Brooklyn","metrocard","Metrocard - Fair Fare","2","0","40.650574","-73.89948","POINT (-73.89948 40.650574)"
"05/11/2024 12:00:00 AM","subway","461","Queensboro Plaza (7,N,W)","Queens","metrocard","Metrocard - Other","4","0","40.750584","-73.9402","POINT (-73.9402 40.750584)"
"05/11/2024 11:00:00 AM","subway","295","231 St (1)","Bronx","metrocard","Metrocard - Unlimited 7-Day","25","0","40.878857","-73.90483","POINT (-73.90483 40.878857)"
"05/11/2024 10:00:00 AM","subway","405","23 St (6)","Manhattan","metrocard","Metrocard - Unlimited 30-Day","17","0","40.739864","-73.9866","POINT (-73.9866 40.739864)"
"05/11/2024 01:00:00 PM","subway","451","Junction Blvd (7)","Queens","omny","OMNY - Full Fare","385","8","40.749146","-73.86953","POINT (-73.86953 40.749146)"
"05/11/2024 12:00:00 PM","subway","77","Kings Hwy (N)","Brooklyn","omny","OMNY - Full Fare","60","2","40.603924","-73.980354","POINT (-73.980354 40.603924)"
"05/11/2024 12:00:00 PM","subway","125","Morgan Av (L)","Brooklyn","omny","OMNY - Full Fare","237","0","40.706154","-73.93314","POINT (-73.93314 40.706154)"
"05/11/2024 07:00:00 AM","subway","179","Nostrand Av (A,C)","Brooklyn","omny","OMNY - Full Fare","164","6","40.68044","-73.950424","POINT (-73.950424 40.68044)"
"05/11/2024 10:00:00 AM","subway","79","86 St (N)","Brooklyn","omny","OMNY - Full Fare","31","1","40.59272","-73.97823","POINT (-73.97823 40.59272)"
"05/11/2024 11:00:00 PM","subway","420","219 St (2,5)","Bronx","metrocard","Metrocard - Fair Fare","1","0","40.883896","-73.86263","POINT (-73.86263 40.883896)"
"05/11/2024 04:00:00 PM","subway","249","Avenue P (F)","Brooklyn","metrocard","Metrocard - Seniors & Disability","1","0","40.608944","-73.97302","POINT (-73.97302 40.608944)"
"05/11/2024 07:00:00 AM","subway","382","Fordham Rd (4)","Bronx","metrocard","Metrocard - Other","11","0","40.862804","-73.90103","POINT (-73.90103 40.862804)"
"05/11/2024 07:00:00 AM","subway","282","21 St (G)","Queens","metrocard","Metrocard - Full Fare","1","0","40.744064","-73.94972","POINT (-73.94972 40.744064)"
"05/11/2024 03:00:00 PM","subway","243","Church Av (F,G)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","18","0","40.64404","-73.979675","POINT (-73.979675 40.64404)"
"05/11/2024 02:00:00 PM","subway","97","Myrtle Av (M,J,Z)","Brooklyn","omny","OMNY - Seniors & Disability","1","0","40.69721","-73.93565","POINT (-73.93565 40.69721)"
"05/11/2024 03:00:00 PM","subway","84","85 St-Forest Pkwy (J)","Queens","metrocard","Metrocard - Other","2","0","40.692436","-73.86001","POINT (-73.86001 40.692436)"
"05/11/2024 02:00:00 AM","subway","118","3 Av (L)","Manhattan","metrocard","Metrocard - Other","1","0","40.73285","-73.98612","POINT (-73.98612 40.73285)"
